bray_curtis_binary	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.134	0.181	0.170	0.205	0.143	0.119	0.121	0.128	0.136	0.132	0.117	0.134	0.161	0.122	0.137	0.157	0.119
KO2	0.134	0	0.176	0.171	0.202	0.142	0.122	0.115	0.127	0.139	0.119	0.112	0.132	0.160	0.115	0.132	0.160	0.118
KO3	0.181	0.176	0	0.198	0.206	0.183	0.187	0.178	0.187	0.191	0.183	0.177	0.181	0.195	0.174	0.179	0.196	0.172
KO4	0.170	0.171	0.198	0	0.198	0.165	0.170	0.171	0.177	0.174	0.169	0.166	0.173	0.179	0.162	0.174	0.178	0.164
KO5	0.205	0.202	0.206	0.198	0	0.187	0.207	0.201	0.209	0.202	0.193	0.204	0.208	0.201	0.194	0.196	0.203	0.186
KO6	0.143	0.142	0.183	0.165	0.187	0	0.145	0.142	0.151	0.150	0.140	0.143	0.148	0.177	0.138	0.144	0.166	0.146
OE1	0.119	0.122	0.187	0.170	0.207	0.145	0	0.0956	0.101	0.114	0.0989	0.0868	0.117	0.148	0.0987	0.114	0.141	0.107
OE2	0.121	0.115	0.178	0.171	0.201	0.142	0.0956	0	0.113	0.121	0.104	0.0959	0.116	0.152	0.101	0.114	0.146	0.106
OE3	0.128	0.127	0.187	0.177	0.209	0.151	0.101	0.113	0	0.120	0.112	0.0987	0.118	0.148	0.109	0.125	0.144	0.112
OE4	0.136	0.139	0.191	0.174	0.202	0.150	0.114	0.121	0.120	0	0.125	0.110	0.128	0.155	0.120	0.119	0.151	0.126
OE5	0.132	0.119	0.183	0.169	0.193	0.140	0.0989	0.104	0.112	0.125	0	0.0975	0.116	0.153	0.101	0.114	0.135	0.110
OE6	0.117	0.112	0.177	0.166	0.204	0.143	0.0868	0.0959	0.0987	0.110	0.0975	0	0.112	0.147	0.0995	0.111	0.138	0.102
WT1	0.134	0.132	0.181	0.173	0.208	0.148	0.117	0.116	0.118	0.128	0.116	0.112	0	0.144	0.114	0.122	0.142	0.127
WT2	0.161	0.160	0.195	0.179	0.201	0.177	0.148	0.152	0.148	0.155	0.153	0.147	0.144	0	0.141	0.154	0.161	0.150
WT3	0.122	0.115	0.174	0.162	0.194	0.138	0.0987	0.101	0.109	0.120	0.101	0.0995	0.114	0.141	0	0.111	0.130	0.105
WT4	0.137	0.132	0.179	0.174	0.196	0.144	0.114	0.114	0.125	0.119	0.114	0.111	0.122	0.154	0.111	0	0.143	0.114
WT5	0.157	0.160	0.196	0.178	0.203	0.166	0.141	0.146	0.144	0.151	0.135	0.138	0.142	0.161	0.130	0.143	0	0.133
WT6	0.119	0.118	0.172	0.164	0.186	0.146	0.107	0.106	0.112	0.126	0.110	0.102	0.127	0.150	0.105	0.114	0.133	0
