unifrac	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.176	0.159	0.111	0.192	0.0895	0.190	0.233	0.194	0.143	0.142	0.179	0.191	0.140	0.156	0.153	0.160	0.144
KO2	0.176	0	0.198	0.192	0.329	0.218	0.199	0.168	0.196	0.184	0.163	0.188	0.170	0.223	0.149	0.160	0.165	0.145
KO3	0.159	0.198	0	0.130	0.196	0.144	0.253	0.227	0.195	0.179	0.179	0.236	0.192	0.192	0.185	0.177	0.148	0.143
KO4	0.111	0.192	0.130	0	0.178	0.110	0.239	0.255	0.231	0.175	0.175	0.234	0.181	0.152	0.183	0.168	0.146	0.156
KO5	0.192	0.329	0.196	0.178	0	0.155	0.349	0.339	0.296	0.253	0.276	0.327	0.291	0.218	0.297	0.286	0.249	0.257
KO6	0.0895	0.218	0.144	0.110	0.155	0	0.241	0.277	0.236	0.189	0.186	0.228	0.230	0.178	0.211	0.200	0.188	0.192
OE1	0.190	0.199	0.253	0.239	0.349	0.241	0	0.165	0.198	0.163	0.132	0.0772	0.214	0.222	0.137	0.182	0.204	0.168
OE2	0.233	0.168	0.227	0.255	0.339	0.277	0.165	0	0.147	0.152	0.147	0.147	0.173	0.206	0.148	0.185	0.172	0.155
OE3	0.194	0.196	0.195	0.231	0.296	0.236	0.198	0.147	0	0.119	0.150	0.187	0.134	0.147	0.124	0.121	0.155	0.130
OE4	0.143	0.184	0.179	0.175	0.253	0.189	0.163	0.152	0.119	0	0.139	0.157	0.135	0.138	0.115	0.130	0.134	0.104
OE5	0.142	0.163	0.179	0.175	0.276	0.186	0.132	0.147	0.150	0.139	0	0.105	0.151	0.166	0.0927	0.119	0.114	0.0983
OE6	0.179	0.188	0.236	0.234	0.327	0.228	0.0772	0.147	0.187	0.157	0.105	0	0.201	0.214	0.131	0.167	0.171	0.150
WT1	0.191	0.170	0.192	0.181	0.291	0.230	0.214	0.173	0.134	0.135	0.151	0.201	0	0.116	0.123	0.111	0.094	0.126
WT2	0.140	0.223	0.192	0.152	0.218	0.178	0.222	0.206	0.147	0.138	0.166	0.214	0.116	0	0.150	0.124	0.117	0.148
WT3	0.156	0.149	0.185	0.183	0.297	0.211	0.137	0.148	0.124	0.115	0.0927	0.131	0.123	0.150	0	0.092	0.121	0.0743
WT4	0.153	0.160	0.177	0.168	0.286	0.200	0.182	0.185	0.121	0.130	0.119	0.167	0.111	0.124	0.092	0	0.112	0.102
WT5	0.160	0.165	0.148	0.146	0.249	0.188	0.204	0.172	0.155	0.134	0.114	0.171	0.094	0.117	0.121	0.112	0	0.101
WT6	0.144	0.145	0.143	0.156	0.257	0.192	0.168	0.155	0.130	0.104	0.0983	0.150	0.126	0.148	0.0743	0.102	0.101	0
